Wall time,Step,Value
1774700774.756138,468,0.2967643737792969
1774700777.663705,937,0.26091066002845764
1774700780.494111,1406,0.2578718662261963
1774700783.0685272,1875,0.25569939613342285
1774700785.7346182,2344,0.25443515181541443
1774700788.415521,2813,0.2533341348171234
1774700790.9506712,3282,0.2515033781528473
1774700793.616269,3751,0.25028830766677856
1774700796.272081,4220,0.24943000078201294
1774700798.939959,4689,0.2485666573047638
1774700801.461289,5158,0.2483692169189453
1774700804.119423,5627,0.24804532527923584
1774700806.7687209,6096,0.24779976904392242
1774700809.44172,6565,0.24709753692150116
1774700811.949399,7034,0.24712689220905304
1774700814.618006,7503,0.2470119595527649
1774700817.491412,7972,0.246383935213089
1774700820.269173,8441,0.2465309351682663
1774700823.05248,8910,0.2461257427930832
1774700825.759352,9379,0.24577926099300385
1774700828.463568,9848,0.24557730555534363
1774700831.059177,10317,0.24568550288677216
1774700833.746329,10786,0.2454383373260498
1774700836.415655,11255,0.2454725205898285
1774700839.236065,11724,0.24516597390174866
1774700841.9234009,12193,0.24506869912147522
1774700844.625539,12662,0.24525578320026398
1774700847.265289,13131,0.24474108219146729
1774700850.0941901,13600,0.2446230798959732
1774700852.637111,14069,0.2448660433292389
